ethnicity,agegt19,sex,parameter,beta0,betaAge,betaAge2,betaHeight2
Caucasian,0,0,FEV1,-0.7453,-0.04106,0.004477,0.00014098
Caucasian,0,0,FEV6,-0.3119,-0.18612,0.009717,0.00018188
Caucasian,0,0,FVC,-0.2584,-0.20415,0.010133,0.00018642
Caucasian,0,0,PEF,-0.5962,-0.12357,0.013135,0.00024962
Caucasian,0,0,PEF2575,-1.0863,0.13939,0,0.00010345
Caucasian,1,0,FEV1,0.5536,-0.01303,-0.000172,0.00014098
Caucasian,1,0,FEV6,0.1102,-0.00842,-0.000223,0.00018188
Caucasian,1,0,FVC,-0.1933,0.00064,-0.000269,0.00018642
Caucasian,1,0,PEF,1.0523,0.08272,-0.001301,0.00024962
Caucasian,1,0,PEF2575,2.7006,-0.04995,0,0.00010345
Caucasian,0,1,FEV1,-0.871,0.06537,0,0.00011496
Caucasian,0,1,FEV6,-1.1925,0.06544,0,0.00014395
Caucasian,0,1,FVC,-1.2082,0.05916,0,0.00014815
Caucasian,0,1,PEF,-3.6181,0.60644,-0.016846,0.00018623
Caucasian,0,1,PEF2575,-2.5284,0.5249,-0.015309,0.00006982
Caucasian,1,1,FEV1,0.4333,-0.00361,-0.000194,0.00011496
Caucasian,1,1,FEV6,-0.1373,0.01317,-0.000352,0.00014395
Caucasian,1,1,FVC,-0.356,0.0187,-0.000382,0.00014815
Caucasian,1,1,PEF,0.9267,0.06929,-0.001031,0.00018623
Caucasian,1,1,PEF2575,2.367,-0.01904,-0.0002,0.00006982
