year,sex,age,value
2015,both,40,3974207
2015,both,41,3849420
2015,both,42,3907624
2015,both,43,4083603
2015,both,44,4317303
2015,both,45,4370889
2015,both,46,4141473
2015,both,47,4055026
2015,both,48,4059493
2015,both,49,4134729
2015,both,50,4382781
2015,both,51,4462439
2015,both,52,4458057
2015,both,53,4447571
2015,both,54,4500647
2015,both,55,4538426
2015,both,56,4383906
2015,both,57,4355992
2015,both,58,4305620
2015,both,59,4149572
2015,both,60,4113021
2015,both,61,3942013
2015,both,62,3790340
2015,both,63,3640760
2015,both,64,3526596
2015,both,65,3442274
2015,both,66,3335226
2015,both,67,3296079
2015,both,68,3430360
2015,both,69,2527153
2015,both,70,2486735
2015,both,71,2414508
2015,both,72,2464193
2015,both,73,2141679
2015,both,74,1950011
2015,both,75,1836257
2015,both,76,1718782
2015,both,77,1636558
2015,both,78,1498697
2015,both,79,1420533
2015,both,80,1350403
2015,both,81,1200285
2015,both,82,1148211
2015,both,83,1081259
2015,both,84,1013571
2015,both,85,954754
2015,both,86,843278
2015,both,87,771721
2015,both,88,687162
2015,both,89,594409
2015,both,90,520830
2015,both,91,438629
2015,both,92,359436
2015,both,93,292695
2015,both,94,232294
2015,both,95,173061
2015,both,96,122361
2015,both,97,92105
2015,both,98,61601
2015,both,99,43288
2015,both,100,75472
2016,both,40,3860403
2016,both,41,3977315
2016,both,42,3851484
2016,both,43,3907487
2016,both,44,4082038
2016,both,45,4312847
2016,both,46,4364651
2016,both,47,4134387
2016,both,48,4046192
2016,both,49,4048976
2016,both,50,4121621
2016,both,51,4367006
2016,both,52,4444624
2016,both,53,4437846
2016,both,54,4425138
2016,both,55,4475470
2016,both,56,4511526
2016,both,57,4355419
2016,both,58,4325464
2016,both,59,4272878
2016,both,60,4115700
2016,both,61,4077251
2016,both,62,3905088
2016,both,63,3752148
2016,both,64,3600927
2016,both,65,3485781
2016,both,66,3400128
2016,both,67,3290872
2016,both,68,3248519
2016,both,69,3376693
2016,both,70,2483776
2016,both,71,2441159
2016,both,72,2366033
2016,both,73,2410060
2016,both,74,2090106
2016,both,75,1898429
2016,both,76,1782780
2016,both,77,1663622
2016,both,78,1578783
2016,both,79,1440113
2016,both,80,1358909
2016,both,81,1285388
2016,both,82,1135666
2016,both,83,1079613
2016,both,84,1009041
2016,both,85,938053
2016,both,86,875911
2016,both,87,765961
2016,both,88,693476
2016,both,89,610258
2016,both,90,520900
2016,both,91,450205
2016,both,92,373280
2016,both,93,300863
2016,both,94,240187
2016,both,95,187305
2016,both,96,136075
2016,both,97,94765
2016,both,98,69495
2016,both,99,45050
2016,both,100,81224
2017,both,40,3981422
2017,both,41,3861823
2017,both,42,3977690
2017,both,43,3850482
2017,both,44,3905170
2017,both,45,4077113
2017,both,46,4305556
2017,both,47,4355769
2017,both,48,4124135
2017,both,49,4034727
2017,both,50,4035320
2017,both,51,4106035
2017,both,52,4349332
2017,both,53,4424036
2017,both,54,4415026
2017,both,55,4399637
2017,both,56,4448114
2017,both,57,4482263
2017,both,58,4324183
2017,both,59,4291462
2017,both,60,4236755
2017,both,61,4078415
2017,both,62,4038221
2017,both,63,3864573
2017,both,64,3710079
2017,both,65,3558031
2017,both,66,3441721
2017,both,67,3354408
2017,both,68,3242740
2017,both,69,3196696
2017,both,70,3318766
2017,both,71,2437215
2017,both,72,2391762
2017,both,73,2313395
2017,both,74,2351500
2017,both,75,2034126
2017,both,76,1842540
2017,both,77,1725115
2017,both,78,1604246
2017,both,79,1516665
2017,both,80,1377172
2017,both,81,1292841
2017,both,82,1215835
2017,both,83,1066869
2017,both,84,1007070
2017,both,85,933308
2017,both,86,859842
2017,both,87,795166
2017,both,88,687639
2017,both,89,615157
2017,both,90,534374
2017,both,91,449442
2017,both,92,382614
2017,both,93,311809
2017,both,94,246861
2017,both,95,192795
2017,both,96,147502
2017,both,97,104121
2017,both,98,71614
2017,both,99,50997
2017,both,100,85685
2018,both,40,4024924
2018,both,41,3979514
2018,both,42,3859343
2018,both,43,3973708
2018,both,44,3845645
2018,both,45,3898452
2018,both,46,4068075
2018,both,47,4294760
2018,both,48,4343440
2018,both,49,4110710
2018,both,50,4019811
2018,both,51,4018913
2018,both,52,4088127
2018,both,53,4328837
2018,both,54,4400535
2018,both,55,4388782
2018,both,56,4371470
2018,both,57,4417512
2018,both,58,4449275
2018,both,59,4289053
2018,both,60,4253718
2018,both,61,4196759
2018,both,62,4037587
2018,both,63,3995006
2018,both,64,3820115
2018,both,65,3664537
2018,both,66,3511071
2018,both,67,3393514
2018,both,68,3304652
2018,both,69,3190525
2018,both,70,3140795
2018,both,71,3257223
2018,both,72,2387143
2018,both,73,2338608
2018,both,74,2256938
2018,both,75,2288559
2018,both,76,1974067
2018,both,77,1782832
2018,both,78,1663683
2018,both,79,1541038
2018,both,80,1450531
2018,both,81,1310292
2018,both,82,1222929
2018,both,83,1142652
2018,both,84,994990
2018,both,85,931923
2018,both,86,855703
2018,both,87,780587
2018,both,88,714270
2018,both,89,610171
2018,both,90,538774
2018,both,91,461479
2018,both,92,381894
2018,both,93,319873
2018,both,94,255898
2018,both,95,198722
2018,both,96,151483
2018,both,97,113667
2018,both,98,77649
2018,both,99,52961
2018,both,100,92972
2019,both,40,4105709
2019,both,41,4019958
2019,both,42,3974312
2019,both,43,3853638
2019,both,44,3966944
2019,both,45,3836998
2019,both,46,3888073
2019,both,47,4056429
2019,both,48,4280947
2019,both,49,4327992
2019,both,50,4094418
2019,both,51,4002526
2019,both,52,4000400
2019,both,53,4067623
2019,both,54,4304917
2019,both,55,4373694
2019,both,56,4359755
2019,both,57,4340608
2019,both,58,4384207
2019,both,59,4412827
2019,both,60,4251134
2019,both,61,4213365
2019,both,62,4153798
2019,both,63,3993205
2019,both,64,3948632
2019,both,65,3772844
2019,both,66,3615850
2019,both,67,3461413
2019,both,68,3342834
2019,both,69,3251426
2019,both,70,3135014
2019,both,71,3083271
2019,both,72,3191829
2019,both,73,2334191
2019,both,74,2282672
2019,both,75,2197748
2019,both,76,2222302
2019,both,77,1910947
2019,both,78,1720403
2019,both,79,1599424
2019,both,80,1474935
2019,both,81,1381382
2019,both,82,1240760
2019,both,83,1150775
2019,both,84,1067248
2019,both,85,921813
2019,both,86,856266
2019,both,87,778359
2019,both,88,702651
2019,both,89,635584
2019,both,90,535932
2019,both,91,466780
2019,both,92,393702
2019,both,93,320322
2019,both,94,263796
2019,both,95,206970
2019,both,96,157244
2019,both,97,116965
2019,both,98,85867
2019,both,99,56774
2019,both,100,100442
2020,both,40,4381528
2020,both,41,4203064
2020,both,42,4108698
2020,both,43,4057496
2020,both,44,3919829
2020,both,45,3963800
2020,both,46,3889248
2020,both,47,3943347
2020,both,48,4136149
2020,both,49,4385147
2020,both,50,4317006
2020,both,51,4156920
2020,both,52,4069551
2020,both,53,4085985
2020,both,54,4148923
2020,both,55,4312135
2020,both,56,4417792
2020,both,57,4422740
2020,both,58,4440158
2020,both,59,4433938
2020,both,60,4357519
2020,both,61,4277177
2020,both,62,4241405
2020,both,63,4165800
2020,both,64,3982632
2020,both,65,3890031
2020,both,66,3752653
2020,both,67,3596698
2020,both,68,3461200
2020,both,69,3293714
2020,both,70,3142959
2020,both,71,3059260
2020,both,72,2993652
2020,both,73,3151052
2020,both,74,2228062
2020,both,75,2132837
2020,both,76,2071454
2020,both,77,2086235
2020,both,78,1780048
2020,both,79,1590753
2020,both,80,1450396
2020,both,81,1341701
2020,both,82,1247313
2020,both,83,1106724
2020,both,84,1014803
2020,both,85,926424
2020,both,86,792896
2020,both,87,725978
2020,both,88,651234
2020,both,89,576342
2020,both,90,502246
2020,both,91,417588
2020,both,92,354026
2020,both,93,288362
2020,both,94,226079
2020,both,95,177955
2020,both,96,133573
2020,both,97,97214
2020,both,98,68009
2020,both,99,47561
2020,both,100,75529
2021,both,40,4393776
2021,both,41,4373540
2021,both,42,4194477
2021,both,43,4100197
2021,both,44,4048283
2021,both,45,3909847
2021,both,46,3952445
2021,both,47,3876760
2021,both,48,3929193
2021,both,49,4119781
2021,both,50,4365888
2021,both,51,4296507
2021,both,52,4135451
2021,both,53,4046531
2021,both,54,4060877
2021,both,55,4120958
2021,both,56,4280272
2021,both,57,4382547
2021,both,58,4384337
2021,both,59,4398390
2021,both,60,4388581
2021,both,61,4309141
2021,both,62,4226046
2021,both,63,4186825
2021,both,64,4108077
2021,both,65,3924142
2021,both,66,3829330
2021,both,67,3690251
2021,both,68,3532708
2021,both,69,3395056
2021,both,70,3227036
2021,both,71,3073679
2021,both,72,2985622
2021,both,73,2914348
2021,both,74,3060706
2021,both,75,2156828
2021,both,76,2058794
2021,both,77,1991983
2021,both,78,1998138
2021,both,79,1696733
2021,both,80,1508283
2021,both,81,1367021
2021,both,82,1255754
2021,both,83,1158447
2021,both,84,1018673
2021,both,85,924949
2021,both,86,835477
2021,both,87,706310
2021,both,88,638949
2021,both,89,564734
2021,both,90,492014
2021,both,91,421618
2021,both,92,344006
2021,both,93,285891
2021,both,94,227928
2021,both,95,174263
2021,both,96,134000
2021,both,97,97799
2021,both,98,69218
2021,both,99,46606
2021,both,100,77452
2022,both,40,4438786
2022,both,41,4375219
2022,both,42,4356125
2022,both,43,4175926
2022,both,44,4081360
2022,both,45,4029138
2022,both,46,3891868
2022,both,47,3935451
2022,both,48,3859402
2022,both,49,3908239
2022,both,50,4094089
2022,both,51,4334593
2022,both,52,4265282
2022,both,53,4102135
2022,both,54,4011448
2022,both,55,4021403
2022,both,56,4075771
2022,both,57,4228510
2022,both,58,4322714
2022,both,59,4318616
2022,both,60,4327473
2022,both,61,4313536
2022,both,62,4231279
2022,both,63,4144198
2022,both,64,4101937
2022,both,65,4020640
2022,both,66,3833262
2022,both,67,3737326
2022,both,68,3598472
2022,both,69,3441722
2022,both,70,3305273
2022,both,71,3141497
2022,both,72,2988811
2022,both,73,2898395
2022,both,74,2823041
2022,both,75,2959404
2022,both,76,2083434
2022,both,77,1986144
2022,both,78,1915774
2022,both,79,1916244
2022,both,80,1623833
2022,both,81,1441506
2022,both,82,1303339
2022,both,83,1193273
2022,both,84,1097594
2022,both,85,962356
2022,both,86,870823
2022,both,87,798679
2022,both,88,672727
2022,both,89,601746
2022,both,90,524576
2022,both,91,450431
2022,both,92,380133
2022,both,93,304906
2022,both,94,248895
2022,both,95,194667
2022,both,96,145421
2022,both,97,109622
2022,both,98,78028
2022,both,99,53870
2022,both,100,88988
2023,both,40,4445859
2023,both,41,4436751
2023,both,42,4372484
2023,both,43,4352571
2023,both,44,4172689
2023,both,45,4077310
2023,both,46,4023471
2023,both,47,3884513
2023,both,48,3925534
2023,both,49,3847742
2023,both,50,3894415
2023,both,51,4077909
2023,both,52,4315978
2023,both,53,4246083
2023,both,54,4083098
2023,both,55,3991595
2023,both,56,4000190
2023,both,57,4052231
2023,both,58,4201649
2023,both,59,4292915
2023,both,60,4286224
2023,both,61,4292422
2023,both,62,4275334
2023,both,63,4190527
2023,both,64,4101235
2023,both,65,4055957
2023,both,66,3972246
2023,both,67,3783926
2023,both,68,3685760
2023,both,69,3544847
2023,both,70,3386157
2023,both,71,3247390
2023,both,72,3081090
2023,both,73,2925834
2023,both,74,2831600
2023,both,75,2751641
2023,both,76,2876432
2023,both,77,2019916
2023,both,78,1918989
2023,both,79,1843781
2023,both,80,1835966
2023,both,81,1547923
2023,both,82,1365759
2023,both,83,1226680
2023,both,84,1114894
2023,both,85,1017446
2023,both,86,884880
2023,both,87,793482
2023,both,88,720739
2023,both,89,600500
2023,both,90,530741
2023,both,91,456677
2023,both,92,386590
2023,both,93,321234
2023,both,94,253443
2023,both,95,203141
2023,both,96,155804
2023,both,97,113960
2023,both,98,83998
2023,both,99,58334
2023,both,100,96220
2024,both,40,4384820
2024,both,41,4444213
2024,both,42,4434133
2024,both,43,4369370
2024,both,44,4348741
2024,both,45,4168584
2024,both,46,4071714
2024,both,47,4015834
2024,both,48,3875070
2024,both,49,3913665
2024,both,50,3834529
2024,both,51,3879452
2024,both,52,4060969
