year,sex,age,value
2015,both,40,473.9
2015,both,41,462.7
2015,both,42,463
2015,both,43,469.3
2015,both,44,489.9
2015,both,45,486.3
2015,both,46,482.7
2015,both,47,479
2015,both,48,483.7
2015,both,49,509
2015,both,50,542.8
2015,both,51,557.7
2015,both,52,561.4
2015,both,53,549.7
2015,both,54,555.3
2015,both,55,544.6
2015,both,56,531.6
2015,both,57,523.9
2015,both,58,510.2
2015,both,59,494.1
2015,both,60,486.5
2015,both,61,465.6
2015,both,62,442.8
2015,both,63,424.6
2015,both,64,414.9
2015,both,65,404.3
2015,both,66,394.4
2015,both,67,391.5
2015,both,68,387.3
2015,both,69,330.9
2015,both,70,304.5
2015,both,71,292.2
2015,both,72,277.4
2015,both,73,255.1
2015,both,74,241.1
2015,both,75,223.2
2015,both,76,211.4
2015,both,77,198.8
2015,both,78,185.6
2015,both,79,178
2015,both,80,166.7
2015,both,81,155.2
2015,both,82,149.1
2015,both,83,140.6
2015,both,84,131.9
2015,both,85,119.7
2015,both,86,105.8
2015,both,87,95.4
2015,both,88,83.4
2015,both,89,73.2
2015,both,90,62.4
2015,both,91,52.3
2015,both,92,42.7
2015,both,93,34.7
2015,both,94,27
2015,both,95,19.9
2015,both,96,13.2
2015,both,97,8.8
2015,both,98,5.9
2015,both,99,3.8
2015,both,100,6.8
2016,both,40,477.6
2016,both,41,476.8
2016,both,42,465.1
2016,both,43,465.2
2016,both,44,471
2016,both,45,491.4
2016,both,46,487.3
2016,both,47,483.8
2016,both,48,479.7
2016,both,49,483.9
2016,both,50,509.1
2016,both,51,541.9
2016,both,52,557.1
2016,both,53,560.3
2016,both,54,548.2
2016,both,55,553.8
2016,both,56,542.9
2016,both,57,529.5
2016,both,58,521.7
2016,both,59,508
2016,both,60,491.6
2016,both,61,484
2016,both,62,462.8
2016,both,63,439.9
2016,both,64,421.6
2016,both,65,411.6
2016,both,66,400.8
2016,both,67,390.5
2016,both,68,387.3
2016,both,69,382.7
2016,both,70,326.6
2016,both,71,300
2016,both,72,287.6
2016,both,73,272.5
2016,both,74,250.1
2016,both,75,235.8
2016,both,76,217.7
2016,both,77,205.6
2016,both,78,192.8
2016,both,79,179.3
2016,both,80,171.2
2016,both,81,159.5
2016,both,82,147.8
2016,both,83,141.2
2016,both,84,132.3
2016,both,85,123.1
2016,both,86,110.7
2016,both,87,96.9
2016,both,88,86.4
